nRest,inspection_date,action,violation_code,violation_description,critical_flag,score,grade,inspection_type
41037299,07/03/2018,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",CRITICAL,12.0,A,Cycle Inspection / Re-inspection
50046096,05/17/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,36.0,,Pre-permit (Operational) / Initial Inspection
50012432,10/30/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,12.0,A,Cycle Inspection / Re-inspection
50067810,10/15/2018,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,12.0,,Cycle Inspection / Initial Inspection
40729296,08/18/2016,Violations were cited in the following area(s).,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",NOT CRITICAL,,,Administrative Miscellaneous / Initial Inspection
41420397,06/01/2015,Violations were cited in the following area(s).,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",NOT CRITICAL,17.0,B,Cycle Inspection / Re-inspection
41554120,02/10/2017,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,12.0,A,Cycle Inspection / Re-inspection
40394701,07/20/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",CRITICAL,52.0,,Cycle Inspection / Initial Inspection
50037612,01/06/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,NOT CRITICAL,2.0,A,Cycle Inspection / Re-inspection
50075410,03/27/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,39.0,,Pre-permit (Non-operational) / Initial Inspection
50070661,10/25/2018,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,107.0,,Pre-permit (Operational) / Initial Inspection
50046135,04/15/2016,Violations were cited in the following area(s).,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,12.0,,Pre-permit (Non-operational) / Initial Inspection
50044250,08/17/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",critical,13.0,,Cycle Inspection / Initial Inspection
50006966,09/26/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,8.0,A,Cycle Inspection / Initial Inspection
50017475,09/11/2018,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,CRITICAL,50.0,,Cycle Inspection / Initial Inspection
50033872,11/04/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13.0,A,Cycle Inspection / Re-inspection
